2026-03-30 13:57:49 | INFO     | src.dataloader | Concatenated all data into a single DataFrame with shape (8828230, 39) and columns ['EncounterEpicCsn', 'Event_DateTime', 'Type', 'Event_Grouper', 'Event_Name', 'NumericValue', 'Value', 'Flag', 'PrimaryMrn', 'EncounterEpicCsn_right', 'AdmissionDateValue', 'DischargeDateValue', 'Arrival_Instant', 'InpatientAdmissionInstant', 'Admitted_from_ED', 'PatientClass', 'InpatientAdmissionPatientClass', 'HospitalService', 'AdmittingDepartment', 'DischargeDepartment', 'AdmissionType', 'AdmissionSource', 'AdmissionOrigin', 'PrincipalProblem', 'PrimaryCodedDiagnosis', 'PrimaryCodedProcedureKey', 'Death_Flag', 'Original_POA_Condition', 'Sepsis_Category', 'Baseline_SBP', 'Baseline_RespiratoryRate', 'Baseline_PulseRate', 'Baseline_Creatinine', 'Baseline_Platelets', 'Baseline_Bilirubin', 'Baseline_eGFR', 'Baseline_WBC', 'Suspected_Infection_Time', 'Suspected_Infection_Criteria_Met']
2026-03-30 13:57:51 | INFO     | src.dataloader | Dropped duplicate rows. Before: 8828230, After: 8806877, Dropped: 21353
2026-03-30 13:57:51 | INFO     | src.dataloader | Filtering out rows with null EncounterEpicCsn or Event_DateTime
2026-03-30 13:57:51 | INFO     | src.dataloader | After filtering, df_all has shape (8806877, 39)
2026-03-30 13:57:51 | INFO     | __main__ | Initial data loaded. Saving dataframe to ../Sepsis-data/data/output/raw_data_phase2_v2/df_all.parquet
2026-03-30 13:57:52 | INFO     | __main__ | =================================================================================
2026-03-30 13:57:52 | INFO     | src.events.infectiondetection | Detecting infection with antibiotic and culture criteria
2026-03-30 13:57:52 | INFO     | src.events.infectiondetection | Detected 3929 infections with antibiotic and culture criteria
2026-03-30 13:57:52 | INFO     | src.events.infectiondetection | Detecting infection with lactate and culture criteria
2026-03-30 13:57:53 | INFO     | src.events.infectiondetection | Detected 3309 infections with lactate and culture criteria
2026-03-30 13:57:53 | INFO     | src.events.infectiondetection | Detecting infection with code sepsis order criteria
2026-03-30 13:57:53 | INFO     | src.events.infectiondetection | Detected 1677 infections with code sepsis order criteria
2026-03-30 13:57:53 | INFO     | src.events.infectiondetection | Detecting infection with suspected infection criteria
2026-03-30 13:57:53 | INFO     | src.events.infectiondetection | Detected 901 infections with suspected infection criteria
2026-03-30 13:57:53 | INFO     | src.events.infectiondetection | --------------------------------------------------------------------------------
2026-03-30 13:57:53 | INFO     | src.events.infectiondetection | Combining infection detection results from all criteria
2026-03-30 13:57:53 | INFO     | src.events.infectiondetection | Combined infection detection results has 4032 rows and columns: ['EncounterEpicCsn', 'iv_dt', 'culture_dt', 'first_ev_time_iv_culture', 'ev_type_iv_culture', 'EncounterEpicCsn_lactcult', 'cul_dt', 'lac_dt', 'first_ev_time_lactcult', 'ev_type_lactcult', 'EncounterEpicCsn_codesepsis', 'first_ev_time_codesepsis', 'ev_type_codesepsis', 'EncounterEpicCsn_suspectedinfection', 'first_ev_time_flowsheet', 'ev_type_flowsheet', 'infection_time', 'infection_ev_type', 'first_ev_type']
2026-03-30 13:57:53 | INFO     | __main__ | Infection data detected. Saving dataframe to ../Sepsis-data/data/output/raw_data_phase2_v2/df_infect.parquet
2026-03-30 13:57:53 | INFO     | __main__ | =================================================================================
2026-03-30 13:57:56 | INFO     | src.events.aggregator | Created reference table with 2532253 rows based on unique combinations of EncounterEpicCsn and Event_DateTime
2026-03-30 13:57:56 | INFO     | src.events.aggregator | Aggregating feature max_temp_24h using max over last 1440.0 minutes for events in Temperature
2026-03-30 13:57:58 | INFO     | src.events.aggregator | Joining aggregated feature max_temp_24h back to reference table
2026-03-30 13:57:58 | INFO     | src.events.aggregator | Feature max_temp_24h aggregated and joined. Current reference table now has 2532253 rows and 3 columns.
